Title,Price,Currency,Location,URL
"Geviar 15.6 Inch Laptop,16GB DDR4 512GB SSD, Intel Celeron Quad-Core Processor",179.99,GBP,GB,https://www.ebay.co.uk/itm/395655841125?_skw=laptop&hash=item5c1eed0565:g:LWkAAOSw0Spm23sY
"Lenovo ThinkPad T460S 14"" Laptop - i5-6300U 256GB SSD 8GB RAM Win 10 - Very Good",83.69,GBP,GB,https://www.ebay.co.uk/itm/335611065925?_skw=laptop&hash=item4e23fa7645:g:86IAAOSwFlpnBqsN
"FAST CHEAP LAPTOP i3 i5 i7 8GB 16GB RAM SSD 12.5""  14"" 15.6"" Win 10 or 11 WEBCAM",104.99,GBP,GB,https://www.ebay.co.uk/itm/115716291747?_skw=laptop&hash=item1af13a7ca3:g:PwkAAOSwW81j93hh&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WB--NLLuqzQ%2Fhqn0flHkAr08WfaIF0F0im%2FFyoN8mr5%2BDRrGS8zIpPGudsJD%2B%2FrY0OLnEonnoM6CGQNC2oSyFgxaXGyq%2Fg4FkIoqcvaxLeh3AOhKGpQv95jh00C2wrrCRcmxqcMVWOgfSNitk2GSNcPtuEnIY8sE25LGoqabVE%2F3v8qvkWbqO9vJlUQKLjUVB73D0ht2FycuBBCRb7EPWtIIVMJoSHl4XEenBUn8VtoxrYEluVYI7i8VBlTcAOkoNVArGJdg29uG9OM9wSELQR
FAST CHEAP MAJOR BRAND INTEL CORE i5 UPTO 16GB RAM 480GB SSD WIFI WINDOWS LAPTOP,209.99,GBP,GB,https://www.ebay.co.uk/itm/176007211988?_skw=laptop&hash=item28fad8ebd4:g:nfgAAOSwgqRlRNIA&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8W8l%2BR7WA2%2B%2FYILC49oA1VYtFt%2BUMGQ3P2nkIlDxNW47Q4n9HHZHiqz%2F144xRiUJADjKO9B6JM1s7WGse5OUsPQd0SC2LtLVWfDRzgNWo7QSRb%2FalAAjKSVkwPdFnaowR%2FQKAX7uZgdfhMbo4kJWbJGzJGXgsYu25oewTiREJjlw884ACBrs3sDI8cmOND0%2FUY6soncXrlBbUajf%2Fd4%2FqbUAF64RbRo3b3anVVIfWYgE%2BGIMcYQtQHhtMJ%2Bv9O6CzhedXKpeh4DlfnKA7LdoB%2BS
"Dell Latitude 7390 Laptop, 13"" Core i5 8th Gen, 8GB RAM, 256GB SSD, Windows 11",149.99,GBP,GB,https://www.ebay.co.uk/itm/235663871130?_skw=laptop&hash=item36dea94c9a:g:YmcAAOSwTS9mnqzL&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WA0u00yfMP9%2BdxzKk9wgxIrHN1jYr6xNPXKremu5QAEvmHPPRmhDsiouidS30zeg7SQeUpmh6Yo0914PHndmGB7j5p6SSWTi2Av9q%2FQIkuEVXtlrdRfVx%2FQ0Q8wErnoUyqWTVbIvo2s3dNag5Gboo0%2BDavwUm6fs3yOqIvUeAHofsgg7etxHIGYc6Zzu%2BvV1tOu5OALkhKZi73K3hD7KemoytSzNXmJRO7gzeDf%2BDkmKy06GBQFbQqi6jw2L9NKXklUM8Dcet%2FWubM3fhxkmWR
HP Pro X2 612 G2 PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,149.99,GBP,GB,https://www.ebay.co.uk/itm/176513538413?_skw=laptop&hash=item291906d96d:g:uUEAAOSwf~1mtMku&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8XJTUv%2BENe90yAFgGUbe%2FL%2FxhaY1jL9h1VZhidipDYkwc%2BB44JfQYlbZL1%2B1gpT30iqkCIGivKv05T71teayb94IEuiNdi%2BgBR%2Ff8YI8feaN7YyWlTYt3Vq7lgbGL6QrczRMOdV3pMFexzY9hfUNRkv41QGE%2FbVqf9v5UO68Owg8E5c0xDHTqL9ZGSUut8IY0FN7lwLxFkeWjCuCc%2B9e1zCHcm5ewIktOcLKns93GpYCvp9u1i140k6SIqc19va0Mw7ptv9U2oREG08QBcDNoAA
Windows 10 Laptop Dell Latitude 5490 Core i5-8250U 8th Gen 8GB RAM 256GB SSD,154.99,GBP,GB,https://www.ebay.co.uk/itm/176492949833?_skw=laptop&hash=item2917ccb149:g:yFAAAOSwtGtmtlDO&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8UF7JVXZZRNmP%2FrugFiWEhTbQ032sL1305tL60AxksHaC%2BudnYhHGL5Fsbp5qZ2kGKMaUV9%2BCqyVhMvIZUPZa5VRY1ZELeuPuKcS3S6%2BCGgZAGEAFcLlueHF2ZRxZHCpGmE%2BmpwandutbXMrte4zTkDANUm%2F3E7Yna%2BgOlyDBeWH2UCzkMHE4%2F6Pk8txbmz%2FVY1Ac4PTtaSYobSGe0LDQhTePgAfGuotblLO%2By2SLM20s1PTyJnMw5%2BCifJd%2FqlR%2BZbvFG3aUMhdAHQEV4gAopN
Dell 7410 Windows 11 Pro laptop - Intel i5 10th Gen - 16gb RAM - 256gb SSD,199.99,GBP,GB,https://www.ebay.co.uk/itm/267082050441?_skw=laptop&hash=item3e2f54ab89:g:xmAAAOSwKNtnMou6&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WiDMflTiue6goZEj6YHH7U8SA2lSIXLLlcNBBoPamNhPy1wQbqKJuyOwSJX%2FSK%2BRlAZLx3ibA1yyVjAQnAPfDZZw9EBbPHCEA1oSKJvHTikR3cIKW%2FGIIEB8LCQDnBoPtibL5daNDtEaanas8jRchOCdApFkIlBUT114NMAuSm28OgJW7yzi8%2FgbBUZkXje8%2FiGypmUaHfIy%2ByCinyLh4%2BtU7sRUdt0Kmc41Fp7K8%2FNmLFA6ftE6uc%2Ffzd1b7emKrOUR1Uu6%2B8AUfD5As%2F7dUs
Dell Vostro 3350 Laptop i5 8GB 128GB SSD Windows 10 Pro,68.00,GBP,GB,https://www.ebay.co.uk/itm/267093526597?_skw=laptop&hash=item3e3003c845:g:bJEAAOSwyylnWD2O
"HP EliteBook 840 G3 14"" (120gb nvme 250gb ssd, Intel Core i5 6th Gen  8GB ",70.00,GBP,GB,https://www.ebay.co.uk/itm/205155651118?_skw=laptop&hash=item2fc43ace2e:g:WuwAAOSwIa9nV6Tk
